         10.00	         11.13	949197
         11.13	         12.40	599878
         12.40	         13.80	705316
         13.80	         15.37	818835
         15.37	         17.11	955340
         17.11	         19.05	1101964
         19.05	         21.22	1273549
         21.22	         23.62	1466069
         23.62	         26.30	1678986
         26.30	         29.29	1923636
         29.29	         32.61	2206840
         32.61	         36.31	2516515
         36.31	         40.43	2866061
         40.43	         45.01	3261953
         45.01	         50.12	3691683
         50.12	         55.80	4187420
         55.80	         62.13	4720891
         62.13	         69.18	5335248
         69.18	         77.03	6001800
         77.03	         85.77	6723935
         85.77	         95.50	7547842
         95.50	        106.33	8432805
        106.33	        118.39	9406003
        118.39	        131.83	10453892
        131.83	        146.78	11591733
        146.78	        163.43	12824231
        163.43	        181.97	14123182
        181.97	        202.61	15508237
        202.61	        225.60	16965060
        225.60	        251.19	18470970
        251.19	        279.68	20038435
        279.68	        311.41	21631075
        311.41	        346.74	23228818
        346.74	        386.07	24808855
        386.07	        429.87	26344318
        429.87	        478.63	27821406
        478.63	        532.93	29191822
        532.93	        593.38	30431755
        593.38	        660.69	31521764
        660.69	        735.64	32410174
        735.64	        819.09	33101622
        819.09	        912.01	33588372
        912.01	       1015.47	33838287
       1015.47	       1130.66	33857204
       1130.66	       1258.93	33629401
       1258.93	       1401.74	33195490
       1401.74	       1560.75	32528923
       1560.75	       1737.80	31654884
       1737.80	       1934.94	30571798
       1934.94	       2154.43	29349376
       2154.43	       2398.83	27972362
       2398.83	       2670.96	26489292
       2670.96	       2973.95	24926716
       2973.95	       3311.31	23324939
       3311.31	       3686.95	21693414
       3686.95	       4105.19	20068346
       4105.19	       4570.88	18474057
       4570.88	       5089.40	16923463
       5089.40	       5666.74	15437474
       5666.74	       6309.57	14016751
       6309.57	       7025.33	12676678
       7025.33	       7822.28	11431809
       7822.28	       8709.64	10262208
       8709.64	       9697.65	9176490
       9697.65	      10797.75	7261726
      10797.75	      12022.64	6106259
      12022.64	      13386.49	5413934
      13386.49	      14905.05	4777234
      14905.05	      16595.87	4208643
      16595.87	      18478.50	3690463
      18478.50	      20574.69	3224126
      20574.69	      22908.68	2806259
      22908.68	      25507.43	2431897
      25507.43	      28400.98	2099937
      28400.98	      31622.78	1800364
      31622.78	      35210.05	1538294
      35210.05	      39204.27	1308985
      39204.27	      43651.58	1106888
      43651.58	      48603.40	932162
      48603.40	      54116.95	781246
      54116.95	      60255.96	652260
      60255.96	      67091.37	541559
      67091.37	      74702.19	448267
      74702.19	      83176.38	368667
      83176.38	      92611.87	300996
      92611.87	     103117.73	247219
     103117.73	     114815.36	201254
     114815.36	     127839.97	163430
     127839.97	     142342.09	132036
     142342.09	     158489.32	107153
     158489.32	     176468.29	87591
     176468.29	     196486.78	71007
     196486.78	     218776.16	56967
     218776.16	     243594.04	46088
     243594.04	     271227.26	36924
     271227.26	     301995.17	30453
     301995.17	     336253.39	24495
     336253.39	     374397.84	20109
     374397.84	     416869.38	16250
     416869.38	     464158.88	13108
     464158.88	     516812.89	10667
     516812.89	     575439.94	8893
     575439.94	     640717.62	7130
     640717.62	     713400.38	5910
     713400.38	     794328.23	4798
     794328.23	     884436.52	3934
     884436.52	     984766.65	3133
     984766.65	    1096478.20	2563
    1096478.20	    1220862.25	2056
    1220862.25	    1359356.39	1641
    1359356.39	    1513561.25	1255
    1513561.25	    1685259.04	1080
    1685259.04	    1876434.17	834
    1876434.17	    2089296.13	662
    2089296.13	    2326305.07	510
    2326305.07	    2590200.20	454
    2590200.20	    2884031.50	329
    2884031.50	    3211194.91	245
    3211194.91	    3575471.60	196
    3575471.60	    3981071.71	136
    3981071.71	    4432682.92	116
    4432682.92	    4935524.74	83
    4935524.74	    5495408.74	71
    5495408.74	    6118805.76	47
    6118805.76	    6812920.69	38
    6812920.69	    7585775.75	34
    7585775.75	    8446303.19	22
    8446303.19	    9404448.52	21
    9404448.52	   10471285.48	10
   10471285.48	   11659144.01	12
   11659144.01	   12981752.75	10
   12981752.75	   14454397.71	10
   14454397.71	   16094098.93	9
   16094098.93	   17919807.22	2
   17919807.22	   19952623.15	1
   19952623.15	   22216040.92	4
   22216040.92	   24736219.92	2
   24736219.92	   27542287.03	3
   27542287.03	   30666673.31	1
   30666673.31	   34145488.74	2
   34145488.74	   38018939.63	0
   38018939.63	   42331793.28	3
   42331793.28	   47133895.36	2
   47133895.36	   52480746.02	0
   52480746.02	   58434141.34	1
   58434141.34	   65062887.49	4
   65062887.49	   72443596.01	3
   72443596.01	   80661569.22	0
   80661569.22	   89811786.10	1
   89811786.10	  100000000.00	5
